,toxic,polite
127,"им надо не штрафы давать, а ебальники бить!!!!!","им надо не штрафы давать, а бить их!!!!!"
128,"на постсоветских странах давно пора стрелять хапужных мразей,которые забыли совесть...","на постсоветских странах давно пора убивать жадных людей,которые забыли совесть..."
129,по моему вы уже заебали этим козлом,по моему вы уже надоели с этим козлом
130,ну какие же вы не благодарные это малофеев несёт постоянно какую чуш этот ублюдок нацист ёбаный,ну какие же вы не благодарные это малофеев несёт постоянно какую ерунду этот нацист
131,язык вырвать и на волькые хлеба!,язык вырвать и на волькые хлеба!
132,на осиновый кол.,на осиновый кол.
133,"ебаться хочет, аж пищит","секса хочет, аж пищит"
134,"дибил! пенсионеры самогон варят, а не покупают хуйню самопальную!","вы ошибаетесь! пенсионеры самогон варят, а не покупают продукт сомнительного качества!"
135,"мерзость и пьянь!!! как простого смертного так давно бы уже засудили по полной, а эта мразь откупится!!!!!;","алкоголик!!! как простого смертного так давно бы уже засудили по полной, а этот откупится!!!!!;"
136,"долбоеб, самолёт вылетал из варшавы","вы ошибаетесь, самолёт вылетал из варшавы"
137,мрази тупые не садитесь за руль!!! из за вас пидарасов аварии,не садитесь за руль!!! из за вас аварии
138,"а хули для себя,бля не з делоют штрафы ,не покрашен бордюр штраф,хуевыи асвальт штраф ,погибло дерево штраф,не оказали мидицынскую помощь штраф ,и.т.д , чё бля урод лысыи а скажешь ?поидёт так ,ото народ отвечать должен за ваши грехи что-ли,которые вы не делаете ,а народ и за этого бастует ,ты падла выди раз на раз сука да хоть самнои я тебе башку бля пробью урод за твои базар ты кто мразь а? чмо ебаное , живёте за счёт народа, ещё чето выебоваешся ,за глохни лучше ото штраф смотри кабы сам потом народу не заебался бы платить штрафы гнида.","а почему для себя,не з делоют штрафы ,не покрашен бордюр штраф,плохой асвальт штраф ,погибло дерево штраф,не оказали мидицынскую помощь штраф ,и.т.д , что скажете ?поидёт так ,ото народ отвечать должен за ваши грехи что-ли,которые вы не делаете ,а народ и за этого бастует ,предлагаю вам встречу да хотя бы самнои я вам голову пробью за ваши слова кто вы? живёте за счёт народа, ещё что-то говорите ,лучше замолчите ото штраф смотрите как бы сами потом народу не устали бы платить штрафы."
139,"Ты живёшь ради секса, долбоёб?",Вы живёте ради секса?
140,пидарас конченый,плохой человек
141,это чудо нам на хуй не надо,это чудо нам совсем не надо
142,"как всё просто: садись за руль в хлам пьяным, затем тверди, что ничего не помнишь и... ты не виноват в смерти людей... и этой лжи учат адвокаты уродов","как всё просто: садись за руль очень пьяным, затем тверди, что ничего не помнишь и... ты не виноват в смерти людей... и этой лжи учат их адвокаты"
143,пиздец нет слов...... уроды....,нет слов......
144,ото ещё уебок жидовский.,"ото ещё плохой человек, и, к тому же, еврей."
145,"если девушка имела за свою жизнь столько половых партнёров, то она конченая блядь!","если девушка имела за свою жизнь столько половых партнёров, то она женщина лёгкого поведения!"
146,"в магазинах разливного пива литра продаётся эта поебень,не берите,полная хрень,взял эту банку,дома открыл,выпил пару кружек и понял,что единственное напоминание о жиге это сука только банка,сумка и та блять порвалась","в магазинах разливного пива литра продаётся этот напиток,не берите,полная посредственность,взял эту банку,дома открыл,выпил пару кружек и понял,что единственное напоминание о жигулёвском это только банка,сумка и та порвалась"
147,"надо показать что работают, вот и выдумывают всякую хуйню. разгонять нужно дормоедов.","надо показать что работают, вот и выдумывают всякую ерунду. разгонять нужно дормоедов."
148,совсем провительство охуело,совсем провительство не считается с гражданами
149,власть уебков хуй вы остановите хабаровск стадо некчемных,власть ничтожеств вы не остановите хабаровск стадо некчемных
150,бля.....дэбилоиды... .что вы твари безродные делаете????дак и киев уже переименуйте назовите жопа😡,что вы делаете????так и киев уже переименуйте назовите задница😡
151,"а так это сученок с луганска, мразь для кого война, мать родна.передай привет сбу пасеке резать скоро вас будут.","а так это ребенок с луганска, для кого война, мать родна.передай привет сбу пасеке убивать скоро вас будут."
152,какой он нахуй царь - хуета подзаборная он даже не спорцмен и не борец - ево пацан заборол . он даже не мужик . развелся с женой и как и медведь с пидорами тусуется,какой он царь - ничтожество он даже не спорцмен и не борец - ево пацан заборол . он даже не мужик . развелся с женой и как и медведь с геями тусуется
153,"ещё один долбоеб ,старый маразматик. крым ни когда не был украинским. украинцы вы что едите? вы же русские,с киева русь началась!!!!! мозги совсем салом заросли что-ли? вы русские!!!!!! историю вспомните!!!!!!","ещё один заблуждающийся. крым ни когда не был украинским. украинцы вы что едите? вы же русские,с киева русь началась!!!!! вы совсем сошли с ума что-ли? вы русские!!!!!! историю вспомните!!!!!!"
154,ты вуя-бяка я бы ещё морду начистил! чтобы уважали старших!,ты плохой человек я бы ещё побил тебя! чтобы уважали старших!
155,"бестыжие, последнее дело на женщин поднимать руки. будьте прокляты, тобы руки ваши отсохли.","бессовестные, последнее дело на женщин поднимать руки. будьте прокляты, тобы руки ваши отсохли."
156,бошку отрезать,голову отрезать
157,"баба ебанутая и мужик тоже, лучше ей ебало так раколатилбы.","женщина сумасшедшая и мужик тоже, лучше бы ей лицо так раколатилбы."
158,"и астероидом сверху ебануть, вот это я понимаю, вот это год👍","и астероидом сверху ударить, вот это я понимаю, вот это год👍"
159,в эту дырочку я бы вставил язык а потом пососал из нее,привлекательно
160,ебанулись совсем себе оденьте эту хуету на морду бараны,вы совсем сошли с ума предлагаю вам надеть это себе на лицо
161,этот мусор сказочный долбаёб.,этот сотрудник полиции невероятно глуп.
162,да легко. дузенко хуйло!!!,да легко. дузенко плохой человек!!!
163,во всех нациях есть и пидарасы и люди.живите радуйтесь жизни и не болейте.,во всех нациях есть и плохие и хорошие люди.живите радуйтесь жизни и не болейте.
164,бабло надо отрабатывать..... а судь бы миллионов белорусов этих тварей-упырей не интерес уют,деньги надо отрабатывать..... а судь бы миллионов белорусов их не интерес уют
165,где они бляди такие зарплаты нашли?,где они такие зарплаты нашли?
166,пидоры там сидят,плохие люди там сидят
167,"старшина долбоеб прогибается ,а офицеры долбаёб в поддерживают.","старшина идёт на уступки ,а офицеры поддерживают."
168,лизал бы тебе,привлекательно
169,ну пусть еще туда едут отдыхать долбаебы что еще сказать.,ну пусть еще туда едут отдыхать глупцы что еще сказать.
170,таких нужно сразу в топку.,таких нужно сразу убивать.
171,пипец. и тут путина затащили. вы или дебил. или больны на голову.,кошмар. и тут путина затащили. вы или глупы. или сошли с ума.
172,ну тебе лучше знать. ты же у нас патриотический хуесос,ну вам лучше знать. вы же у нас патриот
173,остальная страна ссыкуны и быдло.,остальная страна трусы и некультурные люди.
174,"Костомаров, например. Только он русский, но топит за поляков, украинцев и прочих сателлитов ри. Борис Гринченко шикарный лексик. Куча их, но по некоторым причинам сложно будет связаться, я думаю.","Костомаров, например. Только он русский, но топит за поляков, украинцев и прочих сателлитов ри. Борис Гринченко шикарный лексик. Куча их, но по некоторым причинам сложно будет связаться, я думаю."
175,расстрелять принародно,убить
176,понятливый ты но тупой. не путай правила и карманы мусорские. или сам мусор?,"а вы понятливый, но глупый. не путайте правила и карманы сотрудников полиции. или вы сами сотрудник полиции?"
177,разбить к хуям.,разбить.
178,"налетели какалы да плакальщики🤣🤪 подавитесь своими высерами, мухи навозные. а россия и без вас такие курорты настроит, что заграница будет завидовать.","налетели плакальщики🤣🤪 предлагаю вам подавиться своими словами. а россия и без вас такие курорты настроит, что заграница будет завидовать."
179,"вера лысенко вы там зажрались в сан-франциско и края не видете, это наш губернатор и мы знаем за что его народ хабаровского края уважает, он родился вырос выучился на дальневосточной земле и никуда не сваливал как вы, и взялся за край и с помощью народа начал его поднимать а у вас все деньги да доллары в глазай и в куринных твоих мозгах, хоть когда-нибудь , да шевелите мозгами , а не поганым своим языком.","вера лысенко вы там в сан-франциско слишком привыкли к комфорту и потеряли связь с реальностью, это наш губернатор и мы знаем за что его народ хабаровского края уважает, он родился вырос выучился на дальневосточной земле и никуда не уезжал как вы, и взялся за край и с помощью народа начал его поднимать а у вас все деньги да доллары в глазай и в мыслях, предлагаю вам хотя бы иногда думать, а не только говорить."
180,что эта пиздота в чорном вообще там делала? провокаторы ! к 2018 году все будут сидеть на зоне!!!!,что эти люди в чорном вообще там делали? провокаторы ! к 2018 году все будут в тюрьме!!!!
181,"хуй вам на рыло, госдеповские шлюхи!",а вот и нет!
182,"да у нас ,как ни машина...так легенда! как ни президент...так гандон!как ни мент...так хуйло!и так далее! только мы все белые и пушистые!","да у нас ,как ни машина...так легенда! как ни президент...так плохой политик!как ни сотрудник полиции...так плохой человек!и так далее! только мы все белые и пушистые!"
183,"Гений,миллиардер,филантроп,пиздабол","Гений,миллиардер,филантроп,лжец"
184,конченая шалава.,женщина лёгкого поведения.
185,"в очко ему этот пистолет, что бы через уши лился!!!!",убить его!!!!
186,"Быдло быдлом, но опасность они осознают отлично. Именно, это быдло против кс обычно, потому что бля ну че внатуре, просто лошку пизды дать хотели по приколу а он коляна завалил, урод","Хоть они и некультурные люди, но опасность они осознают отлично. Именно, эти некультурные люди против кс обычно, потому что, как правило, они просто избить слабого человека хотели, чтобы позабавиться а он избил Николая"
187,"рас такая хуйня, давайте отсосите друг другу. может полегчает.",предлагаю вам помириться друг с другом
188,пусть снесет к ебеням эту проститутку грузию,пусть снесет эту грузию
189,"Ещё один враг народа сдох, как же хорошо!","Ещё один враг народа умер, как же хорошо!"
190,"этого чучело с нагайгой ею же и отхлестать! это не казак, это клоун! ударил женщину, он конченая мразь","этого человека с нагайгой ею же и отхлестать! это не казак, это клоун! ударил женщину, он очень плохой человек"
191,кто против новой конституции тот пидорас,кто против новой конституции тот плохой человек
192,"эх народ народ! вас как дебилов, как лошар плешивых разводят! а вы все ведётесь, какая то мразина закинула утку, а вы и повелись, готовы с гавном друг друга сожрать, переругать, а кто то на этом себе плюсики зарабатывает.","эх народ народ! вас водят вокруг пальца! а вы позволяете себя обмануть, кто-то распустил слух, а вы и поверили, готовы друг друга съесть, переругать, а кто то на этом себе плюсики зарабатывает."
193,слава вдв пидоры дырявые вам повезло что праздник один раз в год молитесь !!!,слава вдв вам повезло что праздник один раз в год молитесь !!!
194,охуели пидоры,невероятная наглость
195,"ТЭГ - Какие-То нигеры , просто улётный!!!","ТЭГ - Какие-То афроамериканцы , просто улётный!!!"
196,из года в год из жопы в рот.,из года в год
197,ебало свое заткни..... чертила,замолчите
198,"ебало ему размазать по асфальту,и в скорую не принимать.","лицом бы его ударить об асфальт,и в скорую не принимать."
199,еще надо было их член отрезать и им же в рот заталкать,еще надо было их член отрезать и им же в рот заталкать
200,убила бы. 😠,убила бы. 😠
201,"ух ты, ещё одна очередная самоходная пизда, превращаясь с норм девченки в блядину, ок ру вы что делаете со свиньёй цилюлитом за 200,моя бабушка выглядит и то лучше","ух ты, ещё одна очередная женщина, превращаясь из нормальной девушки в женщину лёгкого поведения, ок ру вы что делаете со свиньёй цилюлитом за 200,моя бабушка выглядит и то лучше"
202,хера сосать сто лет у него будишь,сто лет с ним жить будишь
203,таких надо ставить в ряд и похуям стрелять чтобы знал тварь как к детям подходить,таких надо ставить в ряд и убивать чтобы знал как к детям подходить
204,увижу такого гомика модного ебали снесу не задумываясь :-d﻿,увижу такого модного гея ударю в лицо не задумываясь :-d
205,оплаченные долбоебы!!!!!,проплаченные комментаторы!!!!!
206,"​дешевый и распространенный металл ( ?? ! ) пирит … что вы пишите, тупорылые! противно ...",​дешевый и распространенный металл ( ?? ! ) пирит … что вы пишите! противно ...
207,долбоебы бля!,глупцы!
208,"Откуда инфа, что это хохлы?","Откуда инфа, что это украинцы?"
209,да эту тварь не судить а пристрелить нужно было там на месте,да его не судить а убить нужно было там на месте
210,ты ебаная тварь я тебя убью за этот высер твоего,вы очень плохой человек я вас убью за эти ваши слова
